study,source_file,object_ref,match_pattern,replacement,expected_matches,approval_status,source_pdf_page,verification_note,candidate_text,classification,review_priority,ledger_status,recommended_action,object_label,action
study_05,main_paper,#/texts/37,0\.45\ l\ m,0.45 μm,1,approved,2,,0.45 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_05,main_paper,#/texts/57,290\.0\ l\ g,290.0 μg,1,approved,3,,290.0 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/20,0\.2\ m\ g,0.2 μg,1,approved,1,,0.2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/20,0\.4\ m\ g,0.4 μg,1,approved,1,,0.4 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,15\.13\ m\ g,15.13 μg,1,approved,3,,15.13 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,15\.22\ m\ g,15.22 μg,1,approved,3,,15.22 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,410\ m\ mol,410 μmol,1,approved,3,,410 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,624\ m\ mol,624 μmol,1,approved,3,,624 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,695\ m\ mol,695 μmol,1,approved,3,,695 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,737\ m\ mol,737 μmol,1,approved,3,,737 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,772\ m\ mol,772 μmol,1,approved,3,,772 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/40,955\ m\ mol,955 μmol,1,approved,3,,955 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/44,174\.5\ m\ mol,174.5 μmol,1,approved,3,,174.5 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/44,84\.3\ m\ mol,84.3 μmol,1,approved,3,,84.3 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_07,main_paper,#/texts/46,5\ m\ m,5 μm,1,approved,3,,5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_09,main_paper,#/texts/47,0\.22\ m\ m,0.22 μm,1,approved,3,,0.22 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_09,main_paper,#/texts/47,20\ m\ L,20 μL,1,approved,3,,20 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_12,main_paper,#/tables/4,(?<![A-Za-z])m\ g\b,,1,not approve,8,Source PDF visually verified: Table 5 uses mmol g−1 rather than a micro-unit.,m g,not_a_micro_unit,high,resolved,No action: source is not a micro-unit.,table,
study_16,main_paper,#/texts/19,0\.2\ m\ g,0.2 μg,1,approved,1,,0.2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_16,main_paper,#/texts/19,0\.4\ m\ g,0.4 μg,1,approved,1,,0.4 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_16,main_paper,#/texts/59,0\.22\ m\ m,0.22 μm,1,approved,3,,0.22 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_16,main_paper,#/texts/60,20\ m\ L,20 μL,1,approved,3,,20 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_16,main_paper,#/texts/63,17\.05\ m\ m,17.05 μm,1,approved,3,,17.05 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_17,main_paper,#/texts/61,5\ l\ g,5 μg,1,approved,3,,5 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_17,main_paper,#/texts/67,5\ l\ m,5 μm,1,approved,3,,5 l m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_17,main_paper,#/texts/67,5\ m\ M,,1,not approve,3,,5 m M,ambiguous_molarity,critical,needs_pdf_review,Verify PDF: this may be μM or valid mM.,text,
study_17,main_paper,#/texts/112,0\.5\ l\ g,0.5 μg,1,approved,4,,0.5 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_17,main_paper,#/texts/112,5\ l\ g,5 μg,1,approved,4,,5 l g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_23,main_paper,#/texts/8,0\.4\ m\ g,0.4 μg,1,approved,1,,0.4 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_23,main_paper,#/texts/8,105\ m\ g,105 μg,1,approved,1,,105 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_23,main_paper,#/texts/34,10\ m\ L,10 μL,1,approved,2,,10 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_23,main_paper,#/texts/34,5\ m\ m,5 μm,1,approved,2,,5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/58,1\.12\ m\ mol,1.12 μmol,1,approved,3,,1.12 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/tables/1,(?<![A-Za-z])m\ m\b,μm,1,approved,4,,m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_26,main_paper,#/texts/68,0\.05\ m\ g,0.05 μg,1,approved,4,,0.05 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/68,3\ m\ L,3 μL,1,approved,4,,3 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/68,3\ m\ m,3 μm,1,approved,4,,3 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/69,100\ m\ g,100 μg,1,approved,4,,100 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/70,5\ m\ m,5 μm,1,approved,4,,5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/tables/2,(?<![A-Za-z])m\ mol\b,,7,not approve,5,Source PDF visually verified: Table 2 uses mmol rather than μmol.,m mol,not_a_micro_unit,high,resolved,No action: source is not a micro-unit.,table,
study_26,main_paper,#/texts/100,1\.12\ m\ mol,1.12 μmol,1,approved,5,,1.12 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/100,2\.08\ m\ mol,2.08 μmol,1,approved,5,,2.08 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/tables/3,(?<![A-Za-z])m\ mol\b,μmol,2,approved,6,,m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_26,main_paper,#/texts/164,0\.0044\ m\ mol,0.0044 μmol,1,approved,6,,0.0044 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/164,0\.18\ m\ mol,0.18 μmol,1,approved,6,,0.18 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/tables/4,(?<![A-Za-z])m\ mol\b,μmol,4,approved,7,,m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",table,
study_26,main_paper,#/texts/278,0\.016\ m\ mol,0.016 μmol,1,approved,7,,0.016 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/278,0\.048\ m\ mol,0.048 μmol,1,approved,7,,0.048 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/278,0\.140\ m\ mol,0.140 μmol,1,approved,7,,0.140 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/278,20\ m\ g,20 μg,1,approved,7,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/278,30\ m\ g,30 μg,1,approved,7,,30 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/278,8\ m\ g,8 μg,1,approved,7,,8 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/279,0\.3\ m\ g,0.3 μg,1,approved,7,,0.3 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/284,0\.016\ m\ mol,0.016 μmol,1,approved,8,,0.016 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/284,0\.05\ m\ mol,0.05 μmol,1,approved,8,,0.05 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/284,0\.140\ m\ mol,0.140 μmol,1,approved,8,,0.140 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/284,20\ m\ g,20 μg,1,approved,8,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/284,30\ m\ g,30 μg,1,approved,8,,30 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/284,8\ m\ g,8 μg,1,approved,8,,8 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/367,20\ m\ g,20 μg,1,approved,9,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_26,main_paper,#/texts/375,0\.048\ m\ mol,0.048 μmol,1,approved,9,,0.048 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/375,0\.056\ m\ mol,0.056 μmol,1,approved,9,,0.056 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/375,0\.069\ m\ mol,0.069 μmol,1,approved,9,,0.069 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/375,10\ m\ g,10 μg,2,approved,9,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_26,main_paper,#/texts/375,20\ m\ g,20 μg,1,approved,9,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_27,supplementary_material,#/tables/3,(?<![A-Za-z])l\ \ \ \ L\b,,1,not approve,,Source supplementary PDF visually verified: the entry is I L rather than μL.,l    L,not_a_micro_unit,high,resolved,No action: source is not a micro-unit.,table,
study_34,main_paper,#/texts/12,5\.7\ m\ g,5.7 μg,1,approved,1,,5.7 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/18,100\ m\ g,100 μg,1,approved,1,,100 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/18,2\.7\ m\ g,2.7 μg,1,approved,1,,2.7 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/34,20\ m\ g,20 μg,1,approved,2,,20 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/38,0\.45\ m\ m,0.45 μm,1,approved,2,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/38,5\ m\ g,5 μg,1,approved,2,,5 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/38,5\.7\ m\ g,5.7 μg,1,approved,2,,5.7 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/66,10\ m\ m,10 μm,2,approved,3,,10 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/66,40\ m\ m,40 μm,1,approved,3,,40 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/73,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/74,20\ m\ L,20 μL,1,approved,3,,20 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/74,3\.5\ m\ m,3.5 μm,1,approved,3,,3.5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/74,40\ m\ L,40 μL,1,approved,3,,40 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/74,5\ m\ m,5 μm,1,approved,3,,5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/74,500\ m\ g,500 μg,1,approved,3,,500 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/tables/0,(?<![A-Za-z])m\ g\b,μg,1,approved,4,Source PDF visually verified: Table 1 K_L unit is L/μg.,m g,approved_repair,high,resolved,No action: approved repair will apply.,table,
study_34,main_paper,#/texts/89,658\.5\ m\ g,658.5 μg,1,approved,4,,658.5 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_34,main_paper,#/texts/96,658\.5\ m\ g,658.5 μg,1,approved,5,,658.5 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_34,main_paper,#/texts/107,1322\.6\ m\ g,1322.6 μg,1,approved,6,,1322.6 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/107,2\.7\ m\ g,2.7 μg,1,approved,6,,2.7 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/107,99\.2\ m\ g,99.2 μg,2,approved,6,,99.2 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_34,main_paper,#/texts/122,2\.7\ m\ g,2.7 μg,1,approved,7,,2.7 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_37,main_paper,#/tables/1,(?<![A-Za-z])m\ g\b,,1,not approve,5,Source PDF visually verified: BET surface area is m² g−1 rather than a micro-unit.,m g,not_a_micro_unit,high,resolved,No action: source is not a micro-unit.,table,
study_52,main_paper,#/texts/49,0\.45\ m\ m,0.45 μm,2,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_52,main_paper,#/texts/52,10\ m\ L,10 μL,1,approved,3,,10 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_52,main_paper,#/texts/52,5\ m\ m,5 μm,2,approved,3,,5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_52,main_paper,#/texts/52,6\ m\ m,6 μm,1,approved,3,,6 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/17,10\ m\ g,10 μg,1,approved,1,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/33,375\ m\ m,375 μm,1,approved,2,,375 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/45,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/45,10\ m\ g,10 μg,1,approved,3,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/47,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/49,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/50,0\.3\ m\ m,0.3 μm,1,approved,3,,0.3 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/52,0\.45\ m\ m,0.45 μm,1,approved,3,,0.45 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/52,10\ m\ g,10 μg,1,approved,3,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/66,0\.5\ m\ g,0.5 μg,1,approved,4,,0.5 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/66,3\.5\ m\ m,3.5 μm,2,approved,4,,3.5 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/66,4\ m\ L,4 μL,1,approved,4,,4 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/69,10\ m\ g,10 μg,1,approved,4,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/75,10\ m\ g,10 μg,1,approved,5,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_57,main_paper,#/texts/76,10\ m\ g,10 μg,1,approved,5,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_57,main_paper,#/texts/80,10\ m\ g,10 μg,1,approved,6,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/87,10\ m\ g,10 μg,1,approved,6,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/90,10\ m\ g,10 μg,2,approved,7,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",caption,
study_57,main_paper,#/texts/92,0\.3\ m\ mol,0.3 μmol,1,approved,7,,0.3 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/92,3\.32\ m\ mol,3.32 μmol,1,approved,7,,3.32 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/96,0\.02\ m\ mol,0.02 μmol,1,approved,8,,0.02 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/96,0\.03\ m\ mol,0.03 μmol,1,approved,8,,0.03 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/96,0\.04\ m\ mol,0.04 μmol,1,approved,8,,0.04 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/96,0\.2\ m\ mol,0.2 μmol,1,approved,8,,0.2 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/96,1\.32\ m\ mol,1.32 μmol,1,approved,8,,1.32 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/96,1\.65\ m\ mol,1.65 μmol,1,approved,8,,1.65 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/111,10\ m\ g,10 μg,2,approved,10,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_57,main_paper,#/texts/112,10\ m\ g,10 μg,2,approved,10,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",footnote,
study_57,main_paper,#/texts/139,10\ m\ g,10 μg,1,approved,11,,10 m g,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",list_item,
study_57,main_paper,#/texts/144,3\ m\ mol,3 μmol,1,approved,11,,3 m mol,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",list_item,
study_61,main_paper,#/texts/42,0\.22\ m\ m,0.22 μm,1,approved,3,,0.22 m m,likely_micro_prefix_loss,medium,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
study_61,main_paper,#/texts/42,20\ m\ L,20 μL,1,approved,3,,20 m L,likely_micro_prefix_loss,high,needs_pdf_review,"Verify PDF, then set approval_status to approved and record the evidence.",text,
